מנתח/ת מערכות BI (משרה 29634),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה מנתח/ת מערכות BI.
התפקיד כולל אפיון הדרישות העסקיות במערכת ה- CRM הקיימת בארגון, אפיון תהליכי ETL עבור אינטגרציית המידע בין המערכות ועבודה שוטפת מול כלי BI ובסיסי נתונים.
משרה מלאה, בתל אביב. 

דרישות:
ניסיון של שלוש שנים ומעלה בניתוח מערכות BI - חובה.
ניסיון ב- SQL ברמה טובה מאוד - חובה.
ניסיון בעולם הבנקאות - יתרון משמעותי.
הכרות עם מערכות CRM - יתרון.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/HkyDakieI,1111111,,
איש/ אשת סיסטם Linux (משרה 29433),no_hyperlink,משרה מלאה,no_hyperlink,"חברת NESS מגייסת איש/ אשת סיסטם Linux. 
התפקיד כולל השתלבות בצוות סיסטם האחראי על כל תחום התשתיות בארגון.
משרה מלאה, בפתח תקווה.

דרישות:
ניסיון של 5 שנים ומעלה כאיש/ אשת סיסטם Linux - חובה.
ניסיון בעבודה עם וירטואליזציה (VMware\ Hyper-V) - חובה.
ניסיון בעבודה עם מוצרי אבטחת מידע - חובה.
ניסיון בעבודה עם מוצרי תקשורת - חובה.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/HJ4ae1slU,1111111,,
איש/ אשת מכירות תוכנה (משרה 29291),no_hyperlink,משרה מלאה,no_hyperlink,"לקבוצת המוצרים של Ness דרוש/ה איש/אשת מכירות פתרונות תוכנה.
התפקיד כולל יצירת הזדמנויות עסקיות למכירות של פתרונות תוכנה בעולם הטרנספורמציה הדיגיטלית, הכנה והצגת מצגות ופתרונות ללקוחות, מענה למכרזים וכתיבת הצעות מחיר, ניהול משא ומתן, 
סגירת עסקאות, איתור ויצירת הזדמנויות עסקיות. 
משרה מלאה, בתל אביב. 

דרישות:
ניסיון של 3 שנים ומעלה במכירת פתרונות טכנולוגיים - חובה. 
ניסיון בעבודה מול לקוחות וליווי כל תהליך המכירה E2E, כולל איתור לקוחות חדשים והגדלת הפעילות אצל לקוחות קיימים - חובה. 
מכירת רישוי ללקוחות ENT\ Medium בישראל - יתרון משמעותי.
ניסיון של שלוש שנים במכירת פתרונות ניהול תוכן תוך מתן יעוץ טכני ועסקי - יתרון.
תואר ראשון במדעי המחשב - יתרון.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/HyTE6RceL,1111111,,
איש/ אשת תשתיות Microsoft (משרה 29341),no_hyperlink,משרה מלאה,no_hyperlink,"חברת NESS מגייסת איש/ אשת תשתיות Microsoft לעבודה באגף מערכות מידע. 
התפקיד כולל עבודה בסביבת ענן Sharepoint, Azure ושירותי IIS Web, קביעת ארכיטקטורה במוצרי Microsoft השונים, תכנון והקמת תשתיות טכנולוגיות חדשות בארגון, ליווי וקידום פרויקטים. 
משרה מלאה, בתל אביב.

דרישות:
שלוש שנים ניסיון כאיש/ אשת תשתיות Microsoft - חובה. 
ניסיון בניתוח תהליכים ותקלות מורכבות - חובה. 
ניסיון בכתיבת סקריפטים ב- Powershell - חובה. 
ידע בפלטפורמת IIS - יתרון משמעותי. 
ידע ב- Linux - יתרון משמעותי.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/ByDN1m9gI,1111111,,
DBA Oracle תשתיתי/ת (משרה 29418),no_hyperlink,משרה מלאה,no_hyperlink,".חברת NESS מגייסת DBA תשתיתי/ת.
התפקיד כולל תחזוקה שוטפת של בסיסי הנתונים, ניטור וניתוח תקלות, אופטימיזציה של בסיסי הנתונים ועוד.
משרה מלאה, בבית דגן.

דרישות:
ניסיון של שלוש שנים ומעלה כ- DBA תשתיתי בסביבת Oracle - חובה.
ניסיון ב- PL/SQL - חובה. 
ניסיון בעבודה עם Python - יתרון משמעותי.
ניסיון ב- Spatial - יתרון משמעותי.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/rkZqCMcgI,1111111,,
תומכ/ת Help Desk (משרה 29036),no_hyperlink,משרה מלאה,no_hyperlink,"תמיד חלמת להתמקצע על מערכות בטחוניות? זו ההזדמנות שלך!
חברת NESS מגייסת תומכ/ת Help Desk לתפקיד הכולל תמיכה בעובדי הארגון בתקלות מחשוב בסביבת Microsoft.
סביבת עבודה מאתגרת ומקצועית. 
העבודה במשרה מלאה, באזור השפלה.
התפקיד מצריך נכונות לעבור תהליך סיווג ביטחוני.

דרישות:
בוגר/ת קורס בתחום המחשוב או ניסיון קודם בתמיכת משתמשים פנים ארגוניים - חובה.
היכרות עם מערכות הפעלה Win\ Linux - חובה.
שליטה ביישומי Office - חובה.
היכרות עם Active Directory - חובה.
היכרות עם רשתות TCP/IP - חובה.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/SyHZnG5l8,1111111,,
טכנאי/ת PC (משרה 29554),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה טכנאי/ת PC.
התפקיד כולל תמיכה פרונטאלית במשתמשים פנים ארגוניים, טיפול בתקלות חומרה ותוכנה והתקנה של ציוד קצה.
משרה מלאה, בתל אביב.

דרישות:
ניסיון של שנה לפחות בתמיכת משתמשים פנים ארגוניים - חובה.
ניסיון בטיפול בתקלות חומרה ותוכנה - חובה.
הסמכה רלוונטית - יתרון.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/BkEC5zqxL,1111111,,
מנתח/ת מערכות ומנהל/ת פרויקטים בתחום הדיגיטל (משרה 29356),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה מנתח/ת מערכות ומנהל/ת פרויקטים בתחום הדיגיטל.
התפקיד כולל כתיבת מסמכי אפיון פונקציונאליים וטכניים, ניהול פרויקטים בעולם הדיגיטל, התנהלות מול ריבוי ממשקים ארגוניים והובלת תהליכים עסקיים וטכנולוגיים.
משרה מלאה, בתל אביב.

דרישות:
תואר ראשון בהנדסת תעשיה וניהול/ מדעי המחשב - חובה.
קורס ניתוח מערכות - חובה.
ניסיון של 4 שנים לפחות בניתוח מערכות וניהול פרויקטים בתחום הדיגיטל - חובה.
ניסיון באפיון, יישום והטמעה של מערכות קליניות - חובה.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/H11L5zqeL,1111111,,
בעל/ת אוריינטציה למערכות מידע? בוא/י להשתלב במשרת תמיכת SAP! (משרה 29679),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה תומך/ת SAP.
התפקיד כולל תמיכה טלפונית על מערכת ה- SAP, מתן מענה למשתמשי קצה.
משרה מלאה וקבועה, בפתח תקווה. 

דרישות התפקיד:
אוריינטציה טכנולוגית - חובה. 
ניסיון בתמיכה - יתרון משמעותי.
ניסיון בעבודה מארגון רפואי - יתרון.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/rk7xKGqeU,1111111,,
מטמיע/ת מערכות מידע? בוא/י ללמוד אצלנו SAP! (משרה 29635),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה מטמיע/ת SAP מודול PM.
התפקיד כולל הדרכות פרטניות וסיוע בתפעול המערכת לעובדי הארגון.
תפקיד מאתגר המאפשר הזדמנות להיכנס לחברה יציבה וגדולה וללמוד טכנולוגיות חדשות.
משרה מלאה וזמנית לשלושה חודשים, עם אופציה להארכה.
המשרה ממוקמת באשקלון.

דרישות התפקיד:
ניסיון בהדרכת מערכות מידע - חובה. 
היכרות/ ניסיון עם SAP - יתרון. 
ניסיון בהטמעת מערכת ה- SAP - יתרון משמעותי.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/SyHpDGcx8,1111111,,
מיישמ/ת SAP במודול MM (משרה 29615),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה מיישמ/ת SAP מודול MM. 
התפקיד כולל יישום במודול MM, ניתוח ואפיון דרישות, עבודה בצמוד ללקוחות, קסטומיזציה, כתיבת מסמכים ועוד.
משרה מלאה, בחיפה. 

דרישות התפקיד:
ניסיון של 5 שנים ומעלה ביישום SAP במודול MM - חובה.
ניסיון במודולים נוספים - יתרון משמעותי.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/r1zRUM5lI,1111111,,
איש/ אשת סיסטם Linux (משרה 29673),no_hyperlink,משרה מלאה,no_hyperlink,"חטיבת המוצרים של NESS מגייסת איש/ אשת סיסטם Linux.
התפקיד כולל הקמה, תחזוקה וניהול שוטף של תשתיות Linux בתחום ה- AI.
משרה מלאה, בתל אביב.

דרישות:
ניסיון מוכח כאיש/ אשת סיסטם בסביבת Linux - חובה.
נכונות לנסיעות ברחבי הארץ - חובה.
ניסיון עם מערכות BI/ BW /אנליטיקה - יתרון משמעותי.
ניסיון בכתיבה והרצת סקריפטים - יתרון משמעותי.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/B1-Urf5eU,1111111,,
Python Automation Developer (משרה 29159),no_hyperlink,משרה מלאה,no_hyperlink,"ל- NESS דרוש/ה מפתח/ת אוטומציה מנוסה לעבודה בסביבה טכנולוגית חדשנית.
התפקיד כולל אחריות מלאה על פיתוח, עיצוב, והטמעה של מתודולוגיות אוטומציה חדשות עבור מערכות אלקטרואופטיות מתקדמות.
משרה מלאה, ביבנה.

דרישות:
אנגלית ברמה גבוהה - חובה.
שנתיים ניסיון בכתיבת קוד בשפת Python - חובה.
ניסיון בפיתוח אוטומציה - חובה.",no_hyperlink,לפרטי המשרה המלאים,https://linkatch.com/r/companies/ness/jobs/BySHeM9l8,1111111,,
